,ppid,targetoccurence,targetnumber,trialn,CurrentAudio,RT,ResponseCategory,Target1,Target2,Target3
0,1,0.4,3,0,l,-1.0,4,b,h,o
1,1,0.4,3,0,o,0.7165353451291878,1,b,h,o
2,1,0.4,3,0,n,-1.0,4,b,h,o
3,1,0.4,3,0,i,-1.0,4,b,h,o
4,1,0.4,3,0,b,0.6163919947139362,1,b,h,o
5,1,0.4,3,0,o,0.6832807051065544,1,b,h,o
6,1,0.4,3,0,h,0.999663734759764,1,b,h,o
7,1,0.4,3,0,h,1.1830526544880795,1,b,h,o
8,1,0.4,3,0,l,-1.0,4,b,h,o
9,1,0.4,3,0,f,-1.0,4,b,h,o
10,1,0.4,3,1,h,0.6500272724995,1,h,o,b
11,1,0.4,3,1,k,-1.0,4,h,o,b
12,1,0.4,3,1,b,0.5830561559932619,1,h,o,b
13,1,0.4,3,1,h,0.7994017859487883,1,h,o,b
14,1,0.4,3,1,o,0.8996915355035924,1,h,o,b
15,1,0.4,3,1,i,-1.0,4,h,o,b
16,1,0.4,3,1,b,0.44965152476967774,1,h,o,b
17,1,0.4,3,1,l,-1.0,4,h,o,b
18,1,0.4,3,1,t,-1.0,4,h,o,b
19,1,0.4,3,2,n,-1.0,4,o,b,h
20,1,0.4,3,2,s,-1.0,4,o,b,h
21,1,0.4,3,2,l,-1.0,4,o,b,h
22,1,0.4,3,2,o,0.7164025294148928,1,o,b,h
23,1,0.4,3,2,o,0.5830455911068952,1,o,b,h
24,1,0.4,3,2,s,-1.0,4,o,b,h
25,1,0.4,3,2,h,0.7498388854829727,1,o,b,h
26,1,0.4,3,2,i,-1.0,4,o,b,h
27,1,0.4,3,2,a,-1.0,4,o,b,h
28,1,0.4,3,3,b,0.966586886681938,1,h,o,b
29,1,0.4,3,3,a,-1.0,4,h,o,b
30,1,0.4,3,3,b,0.6497230037722659,1,h,o,b
31,1,0.4,3,3,f,-1.0,4,h,o,b
32,1,0.4,3,3,j,-1.0,4,h,o,b
33,1,0.4,3,3,y,-1.0,4,h,o,b
34,1,0.4,3,3,f,-1.0,4,h,o,b
35,1,0.4,3,3,b,0.4992968313490849,1,h,o,b
36,1,0.4,3,3,a,-1.0,4,h,o,b
37,1,0.4,3,4,i,-1.0,4,b,o,h
38,1,0.4,3,4,h,0.8492837459827172,1,b,o,h
39,1,0.4,3,4,a,-1.0,4,b,o,h
40,1,0.4,3,4,m,-1.0,4,b,o,h
41,1,0.4,3,4,h,0.7159319391909378,1,b,o,h
42,1,0.4,3,4,f,-1.0,4,b,o,h
43,1,0.4,3,4,k,-1.0,4,b,o,h
44,1,0.4,3,4,o,0.8158778771581581,1,b,o,h
45,1,0.4,3,4,k,-1.0,4,b,o,h
46,1,0.4,3,4,h,0.6658637353031054,1,b,o,h
47,1,0.4,3,5,k,-1.0,4,h,o,b
48,1,0.4,3,5,b,0.6159817752691765,1,h,o,b
49,1,0.4,3,5,j,-1.0,4,h,o,b
50,1,0.4,3,5,h,-1.0,2,h,o,b
51,1,0.4,3,5,t,0.4825255270293667,3,h,o,b
52,1,0.4,3,5,l,-1.0,4,h,o,b
53,1,0.4,3,5,j,-1.0,4,h,o,b
54,1,0.4,3,5,b,0.7825384161907323,1,h,o,b
55,1,0.4,3,6,s,-1.0,4,h,b,o
56,1,0.4,3,6,r,-1.0,4,h,b,o
57,1,0.4,3,6,o,0.4328126051772188,1,h,b,o
58,1,0.4,3,6,j,-1.0,4,h,b,o
59,1,0.4,3,6,b,0.6659235023745396,1,h,b,o
60,1,0.4,3,6,b,0.4993161499984922,1,h,b,o
61,1,0.4,3,6,r,-1.0,4,h,b,o
62,1,0.4,3,6,l,-1.0,4,h,b,o
63,1,0.4,3,6,t,-1.0,4,h,b,o
64,1,0.4,3,7,k,-1.0,4,o,b,h
65,1,0.4,3,7,b,0.6645047890630167,1,o,b,h
66,1,0.4,3,7,y,-1.0,4,o,b,h
67,1,0.4,3,7,b,0.5812184694739813,1,o,b,h
68,1,0.4,3,7,i,-1.0,4,o,b,h
69,1,0.4,3,7,k,-1.0,4,o,b,h
70,1,0.4,3,7,b,0.8144470896907592,1,o,b,h
71,1,0.4,3,7,i,-1.0,4,o,b,h
72,1,0.4,3,7,o,0.4477305265750715,1,o,b,h
73,1,0.4,3,8,m,-1.0,4,o,h,b
74,1,0.4,3,8,r,-1.0,4,o,h,b
75,1,0.4,3,8,t,-1.0,4,o,h,b
76,1,0.4,3,8,f,0.14971621205961586,3,o,h,b
77,1,0.4,3,8,b,0.8497027191904181,1,o,h,b
78,1,0.4,3,8,o,0.6832284843825391,1,o,h,b
