"","ppid","cogload","trialn","RT","disengaged","premature","sab","onsettime","design","simTTLC"
"1",1,"load",10,0.833114840102496,1,0,-5.72957795,6,"balanced",2.23333333
"2",1,"load",11,0.801784631378354,1,0,-5.72957795,6,"balanced",2.23333333
"3",1,"load",12,4.73297903521478,1,0,-0.3039716,6,"balanced",9.5
"4",1,"load",14,2.41629616392697,1,0,-1.19868047,6,"balanced",4.68333333
"5",1,"load",15,5.8162996654533,1,0,-0.3039716,6,"balanced",9.5
"6",1,"load",16,2.41636347775216,1,0,-1.19868047,6,"balanced",4.68333333
"7",1,"load",22,4.39961229651533,1,0,-0.52191351,6,"balanced",7.1
"8",1,"load",23,4.36645072914763,1,0,-0.52191351,6,"balanced",7.1
"9",1,"load",24,3.66640656765594,1,0,-0.52191351,6,"balanced",7.1
"10",1,"load",25,2.86633617490236,1,0,-1.19868047,6,"balanced",4.68333333
"11",1,"load",27,5.1682552830033,1,0,-0.3039716,6,"balanced",9.5
"12",1,"load",28,4.24948646795906,1,0,-0.52191351,6,"balanced",7.1
"13",1,"load",29,1.16718218592439,1,0,-5.72957795,6,"balanced",2.23333333
"14",1,"load",30,6.03304837147334,1,0,-0.3039716,6,"balanced",9.5
"15",1,"load",33,0.799787252089686,1,0,-5.72957795,6,"balanced",2.23333333
"16",1,"load",35,1.06640071165509,1,0,-5.72957795,6,"balanced",2.23333333
"17",1,"load",40,5.53294377846691,1,0,-0.52191351,6,"balanced",7.1
"18",1,"load",42,2.76635582570975,1,0,-1.19868047,6,"balanced",4.68333333
"19",1,"load",43,2.63577334378556,1,0,-1.19868047,6,"balanced",4.68333333
"20",1,"load",45,5.8327897414938,1,0,-0.3039716,6,"balanced",9.5
"21",1,"noload",11,5.63359394549872,1,0,-0.52191351,6,"balanced",7.1
"22",1,"noload",13,5.1002849216126,1,0,-0.52191351,6,"balanced",7.1
"23",1,"noload",16,5.96695615636241,1,0,-0.3039716,6,"balanced",9.5
"24",1,"noload",17,2.48369450873133,1,0,-1.19868047,6,"balanced",4.68333333
"25",1,"noload",20,1.14978654272875,1,0,-5.72957795,6,"balanced",2.23333333
"26",1,"noload",21,0.933964835619918,1,0,-5.72957795,6,"balanced",2.23333333
"27",1,"noload",22,6.4502030130634,1,0,-0.3039716,6,"balanced",9.5
"28",1,"noload",23,1.16700710960771,1,0,-5.72957795,6,"balanced",2.23333333
"29",1,"noload",27,4.61690434282843,1,0,-0.52191351,6,"balanced",7.1
"30",1,"noload",30,2.51709212727081,1,0,-1.19868047,6,"balanced",4.68333333
"31",1,"noload",31,1.0331431541689,1,0,-5.72957795,6,"balanced",2.23333333
"32",1,"noload",33,0.983722128529621,1,0,-5.72957795,6,"balanced",2.23333333
"33",1,"noload",35,2.28370754889841,1,0,-1.19868047,6,"balanced",4.68333333
"34",1,"noload",36,4.4837277128604,1,0,-0.52191351,6,"balanced",7.1
"35",1,"noload",37,6.03368860745206,1,0,-0.3039716,6,"balanced",9.5
"36",1,"noload",38,0.933866430655713,1,0,-5.72957795,6,"balanced",2.23333333
"37",1,"noload",42,2.23364447614608,1,0,-1.19868047,6,"balanced",4.68333333
"38",1,"noload",45,6.43353876627338,1,0,-0.3039716,6,"balanced",9.5
"39",2,"load",11,2.5362288480294,1,0,-1.19868047,6,"balanced",4.68333333
"40",2,"load",12,1.56633324992129,1,0,-5.72957795,6,"balanced",2.23333333
"41",2,"load",15,3.1495723799689,1,0,-1.19868047,6,"balanced",4.68333333
"42",2,"load",16,5.58537775844581,1,0,-0.52191351,6,"balanced",7.1
"43",2,"load",17,7.33272258412722,1,0,-0.3039716,6,"balanced",9.5
"44",2,"load",18,5.6681183782888,1,0,-0.52191351,6,"balanced",7.1
"45",2,"load",22,1.21903026106361,1,0,-5.72957795,6,"balanced",2.23333333
"46",2,"load",29,6.76606967189491,1,0,-0.3039716,6,"balanced",9.5
"47",2,"load",30,1.18486684208358,1,0,-5.72957795,6,"balanced",2.23333333
"48",2,"load",32,5.41888048161252,1,0,-0.52191351,6,"balanced",7.1
"49",2,"load",33,3.03299072013362,1,0,-1.19868047,6,"balanced",4.68333333
"50",2,"load",34,7.35194578961875,1,0,-0.3039716,6,"balanced",9.5
"51",2,"load",35,2.68301089900581,1,0,-1.19868047,6,"balanced",4.68333333
"52",2,"load",37,7.34973532021024,1,0,-0.3039716,6,"balanced",9.5
"53",2,"load",40,1.21666071513198,1,0,-5.72957795,6,"balanced",2.23333333
"54",2,"load",44,1.23307970639371,1,0,-5.72957795,6,"balanced",2.23333333
"55",2,"load",46,6.4827459324556,1,0,-0.3039716,6,"balanced",9.5
"56",2,"load",47,5.14941602012277,1,0,-0.52191351,6,"balanced",7.1
"57",2,"noload",10,1.3504114708964,1,0,-5.72957795,6,"balanced",2.23333333
"58",2,"noload",12,5.96602735210638,1,0,-0.3039716,6,"balanced",9.5
"59",2,"noload",13,3.00026804545061,1,0,-1.19868047,6,"balanced",4.68333333
"60",2,"noload",16,2.96693411847303,1,0,-1.19868047,6,"balanced",4.68333333
"61",2,"noload",17,2.3336393116424,1,0,-1.19868047,6,"balanced",4.68333333
"62",2,"noload",25,1.28365366475179,1,0,-5.72957795,6,"balanced",2.23333333
"63",2,"noload",26,5.86690003927106,1,0,-0.3039716,6,"balanced",9.5
"64",2,"noload",27,1.2170585573661,1,0,-5.72957795,6,"balanced",2.23333333
"65",2,"noload",28,4.85012486148719,1,0,-0.52191351,6,"balanced",7.1
