"","ppid","cogload","trialn","RT","disengaged","premature","sab","onsettime","design","simTTLC"
"1",1,"load",13,4.85224321058569,1,0,0.447802685573189,8.75,"random",NA
"2",1,"load",17,NA,0,NA,0.126303321571925,8.25,"random",NA
"3",1,"load",18,NA,0,NA,0.10333908128612,8,"random",NA
"4",1,"load",19,9.37450563579717,1,0,-0.126303321571926,5.375,"random",NA
"5",1,"load",20,3.36895854645604,1,0,-0.723373569002844,6,"random",5.9333333333335
"6",1,"load",21,4.1828740799815,1,0,-0.332981484144166,5.25,"random",8.73333333333361
"7",1,"load",26,2.07466963400907,1,0,1.89454982357887,8.375,"random",3.52500000000017
"8",1,"load",31,NA,0,NA,-0.126303321571926,7.25,"random",NA
"9",1,"load",32,NA,0,NA,-0.195196042429338,6.5,"random",NA
"10",1,"load",34,0.919009469515686,1,0,-2.99683335729749,7.75,"random",2.93333333333344
"11",1,"load",36,4.96875944242413,1,0,-0.287053003572557,7,"random",NA
"12",1,"load",37,2.81620088316947,1,0,-1.04487293300411,6.25,"random",4.9166666666668
"13",1,"load",38,3.63294903075644,1,0,-0.424838445287384,7.5,"random",NA
"14",1,"load",39,NA,0,NA,-0.126303321571926,5.5,"random",NA
"15",1,"load",41,NA,0,NA,-0.14926756185773,6.75,"random",NA
"16",1,"load",44,6.55789671916046,1,0,-0.310017243858361,6.875,"random",NA
"17",1,"load",46,4.29128401423429,1,0,-0.470766925858993,7.375,"random",7.35833333333365
"18",1,"load",47,NA,0,NA,0.10333908128612,7.875,"random",NA
"19",1,"noload",10,3.90878678602445,1,0,-0.86115901071767,5.875,"random",5.32500000000013
"20",1,"noload",12,NA,0,NA,0.0803748410003156,8.875,"random",NA
"21",1,"noload",14,NA,0,NA,-0.126303321571926,7.25,"random",NA
"22",1,"noload",15,3.23358425593017,1,0,1.43526501786278,8.5,"random",NA
"23",1,"noload",18,7.86612155548664,1,0,-0.287053003572557,7,"random",NA
"24",1,"noload",19,NA,0,NA,-0.195196042429338,6.5,"random",NA
"25",1,"noload",24,2.32527809967337,1,0,1.89454982357887,8.375,"random",3.52500000000017
"26",1,"noload",25,NA,0,NA,0.126303321571925,8.25,"random",NA
"27",1,"noload",26,NA,0,NA,-0.126303321571926,5.375,"random",NA
"28",1,"noload",28,NA,0,NA,-0.126303321571926,5.5,"random",NA
"29",1,"noload",29,4.99956034714614,1,0,-0.424838445287384,7.5,"random",NA
"30",1,"noload",32,1.18379368342755,1,0,-2.99683335729749,7.75,"random",2.93333333333344
"31",1,"noload",34,7.06688556740278,1,0,-0.241124523000948,5.75,"random",NA
"32",1,"noload",39,3.36704146078841,1,0,-0.723373569002844,6,"random",5.9333333333335
"33",1,"noload",40,5.18357378153678,1,0,-0.332981484144166,5.25,"random",8.73333333333361
"34",1,"noload",41,4.39168575400993,1,0,-0.470766925858993,7.375,"random",7.35833333333365
"35",1,"noload",43,5.53357412867081,1,0,0.447802685573189,8.75,"random",NA
